NO,DN,BEGIN_TIME,END_TIME,R001_001,R001_002,R001_003,R001_004,R001_005,R001_006,R001_007,R001_008,R001_009,R001_010,R001_011,R001_012,R001_014,R001_016,R001_018,R001_020,R001_022,R001_013,R001_015,R001_017,R001_019,R001_021,RATE
139040,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 5:30,2018/7/1 5:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,38.0,123.0,0.0,0.0,93.0,38.0,123.0,100.0
145628,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 5:45,2018/7/1 6:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,48.0,108.0,0.0,0.0,93.0,51.0,108.0,98.81
152219,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 6:00,2018/7/1 6:15,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,64.0,85.0,0.0,0.0,67.0,73.0,85.0,96.0
158806,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 6:15,2018/7/1 6:30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,57.0,107.0,0.0,0.0,53.0,59.0,107.0,99.09
165394,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 6:30,2018/7/1 6:45,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,81.0,94.0,0.0,0.0,83.0,86.0,94.0,98.1
171981,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 6:45,2018/7/1 7:00,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,64.0,110.0,0.0,0.0,66.0,72.0,110.0,96.77
178555,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 7:00,2018/7/1 7:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,94.0,0.0,0.0,72.0,72.0,94.0,100.0
185108,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 7:15,2018/7/1 7:30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,90.0,114.0,0.0,0.0,57.0,92.0,114.0,99.24
191679,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 7:30,2018/7/1 7:45,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,96.0,101.0,0.0,0.0,70.0,100.0,101.0,98.52
198245,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 7:45,2018/7/1 8:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,77.0,98.0,0.0,0.0,76.0,78.0,98.0,99.6
204790,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 8:00,2018/7/1 8:15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,73.0,114.0,0.0,0.0,92.0,77.0,114.0,98.59
211354,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 8:15,2018/7/1 8:30,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,77.0,120.0,0.0,0.0,82.0,81.0,120.0,98.59
217941,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 8:30,2018/7/1 8:45,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,53.0,89.0,0.0,0.0,62.0,55.0,89.0,99.03
224518,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 8:45,2018/7/1 9:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,90.0,105.0,0.0,0.0,71.0,91.0,105.0,99.63
