NO,DN,BEGIN_TIME,END_TIME,R001_001,R001_002,R001_003,R001_004,R001_005,R001_006,R001_007,R001_008,R001_009,R001_010,R001_011,R001_012,R001_014,R001_016,R001_018,R001_020,R001_022,R001_013,R001_015,R001_017,R001_019,R001_021,RATE
599068,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 23:00,2018/7/1 23:15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,49.0,111.0,0.0,0.0,60.0,50.0,111.0,99.55
605642,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 23:15,2018/7/1 23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,46.0,110.0,0.0,0.0,75.0,46.0,110.0,100.0
612212,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 23:30,2018/7/1 23:45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,52.0,131.0,0.0,0.0,68.0,53.0,131.0,99.6
618790,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/1 23:45,2018/7/2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,36.0,111.0,0.0,0.0,52.0,37.0,111.0,99.5
0,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2,2018/7/2 0:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,32.0,117.0,0.0,0.0,53.0,32.0,117.0,100.0
6576,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 0:15:00,2018/7/2 0:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,54.0,119.0,0.0,0.0,74.0,54.0,119.0,100.0
13151,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 0:30:00,2018/7/2 0:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,32.0,129.0,0.0,0.0,43.0,32.0,129.0,100.0
19733,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 0:45:00,2018/7/2 1:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,42.0,122.0,0.0,0.0,48.0,44.0,122.0,99.07
28039,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 1:15:00,2018/7/2 1:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,63.0,111.0,0.0,0.0,43.0,63.0,111.0,100.0
34611,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 1:30:00,2018/7/2 1:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,77.0,119.0,0.0,0.0,43.0,77.0,119.0,100.0
41180,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 1:45:00,2018/7/2 2:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,56.0,102.0,0.0,0.0,35.0,57.0,102.0,99.48
47746,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 2:00:00,2018/7/2 2:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,84.0,121.0,0.0,0.0,50.0,84.0,121.0,100.0
54315,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 2:15:00,2018/7/2 2:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,77.0,117.0,0.0,0.0,47.0,77.0,117.0,100.0
60881,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 2:30:00,2018/7/2 2:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,93.0,103.0,0.0,0.0,37.0,93.0,103.0,100.0
67443,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 2:45:00,2018/7/2 3:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,58.0,115.0,0.0,0.0,39.0,58.0,115.0,100.0
74003,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 3:00:00,2018/7/2 3:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,42.0,122.0,0.0,0.0,57.0,42.0,122.0,100.0
80565,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 3:15:00,2018/7/2 3:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,31.0,117.0,0.0,0.0,46.0,31.0,117.0,100.0
87132,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 3:30:00,2018/7/2 3:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,20.0,110.0,0.0,0.0,42.0,20.0,110.0,100.0
93692,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 3:45:00,2018/7/2 4:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,21.0,108.0,0.0,0.0,63.0,21.0,108.0,100.0
100254,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 4:00:00,2018/7/2 4:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,27.0,105.0,0.0,0.0,35.0,27.0,105.0,100.0
106818,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 4:15:00,2018/7/2 4:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,22.0,97.0,0.0,0.0,45.0,23.0,97.0,99.39
113381,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 4:30:00,2018/7/2 4:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,32.0,108.0,0.0,0.0,41.0,32.0,108.0,100.0
119944,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 4:45:00,2018/7/2 5:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,31.0,115.0,0.0,0.0,60.0,31.0,115.0,100.0
126507,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 5:00:00,2018/7/2 5:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,30.0,122.0,0.0,0.0,54.0,30.0,122.0,100.0
133071,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 5:15:00,2018/7/2 5:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,33.0,117.0,0.0,0.0,50.0,33.0,117.0,100.0
139634,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 5:30:00,2018/7/2 5:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,24.0,112.0,0.0,0.0,48.0,24.0,112.0,100.0
146195,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 5:45:00,2018/7/2 6:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,40.0,105.0,0.0,0.0,49.0,41.0,105.0,99.49
152759,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 6:00:00,2018/7/2 6:15:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,55.0,120.0,0.0,0.0,38.0,56.0,120.0,99.53
159322,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 6:15:00,2018/7/2 6:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,35.0,119.0,0.0,0.0,49.0,35.0,119.0,100.0
165869,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 6:30:00,2018/7/2 6:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,46.0,114.0,0.0,0.0,52.0,46.0,114.0,100.0
172414,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 6:45:00,2018/7/2 7:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,59.0,118.0,0.0,0.0,71.0,59.0,118.0,100.0
178926,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 7:00:00,2018/7/2 7:15:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,36.0,127.0,0.0,0.0,78.0,38.0,127.0,99.18
185471,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 7:15:00,2018/7/2 7:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,45.0,127.0,0.0,0.0,71.0,46.0,127.0,99.59
192020,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 7:30:00,2018/7/2 7:45:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,50.0,119.0,0.0,0.0,77.0,53.0,119.0,98.8
198567,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 7:45:00,2018/7/2 8:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,50.0,120.0,0.0,0.0,63.0,50.0,120.0,100.0
205119,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 8:00:00,2018/7/2 8:15:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,62.0,120.0,0.0,0.0,67.0,63.0,120.0,99.6
211675,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 8:15:00,2018/7/2 8:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,59.0,94.0,0.0,0.0,69.0,59.0,94.0,100.0
218221,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 8:30:00,2018/7/2 8:45:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,42.0,83.0,0.0,0.0,67.0,45.0,83.0,98.46
224773,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 8:45:00,2018/7/2 9:00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,57.0,81.0,0.0,0.0,76.0,60.0,81.0,98.62
231333,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 9:00:00,2018/7/2 9:15:00,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,60.0,101.0,0.0,0.0,77.0,65.0,101.0,97.94
237891,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 9:15:00,2018/7/2 9:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,68.0,102.0,0.0,0.0,83.0,68.0,102.0,100.0
244449,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 9:30:00,2018/7/2 9:45:00,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,42.0,112.0,0.0,0.0,70.0,49.0,112.0,96.97
250994,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 9:45:00,2018/7/2 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,54.0,109.0,0.0,0.0,50.0,54.0,109.0,100.0
257552,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 10:00:00,2018/7/2 10:15:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,68.0,93.0,0.0,0.0,75.0,69.0,93.0,99.58
263883,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 10:15:00,2018/7/2 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,92.0,90.0,0.0,0.0,38.0,95.0,90.0,98.65
270334,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 10:30:00,2018/7/2 10:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,113.0,0.0,0.0,63.0,63.0,113.0,100.0
276905,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 10:45:00,2018/7/2 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,51.0,93.0,0.0,0.0,75.0,54.0,93.0,98.65
283477,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 11:00:00,2018/7/2 11:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,58.0,119.0,0.0,0.0,92.0,58.0,119.0,100.0
290054,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 11:15:00,2018/7/2 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,78.0,100.0,0.0,0.0,115.0,78.0,100.0,100.0
296494,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 11:30:00,2018/7/2 11:45:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,73.0,101.0,0.0,0.0,116.0,74.0,101.0,99.66
302864,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 11:45:00,2018/7/2 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,74.0,115.0,0.0,0.0,78.0,74.0,115.0,100.0
309250,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 12:00:00,2018/7/2 12:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,52.0,88.0,0.0,0.0,75.0,52.0,88.0,100.0
315622,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 12:15:00,2018/7/2 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,48.0,94.0,0.0,0.0,93.0,48.0,94.0,100.0
322142,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 12:30:00,2018/7/2 12:45:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,48.0,98.0,0.0,0.0,109.0,49.0,98.0,99.61
328718,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 12:45:00,2018/7/2 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,51.0,130.0,0.0,0.0,127.0,51.0,130.0,100.0
335296,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 13:00:00,2018/7/2 13:15:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,63.0,130.0,0.0,0.0,104.0,64.0,130.0,99.66
341873,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 13:15:00,2018/7/2 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,52.0,106.0,0.0,0.0,96.0,52.0,106.0,100.0
348451,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 13:30:00,2018/7/2 13:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,52.0,115.0,0.0,0.0,102.0,52.0,115.0,100.0
355029,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 13:45:00,2018/7/2 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,56.0,94.0,0.0,0.0,92.0,57.0,94.0,99.59
361608,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 14:00:00,2018/7/2 14:15:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,48.0,119.0,0.0,0.0,68.0,51.0,119.0,98.74
368151,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 14:15:00,2018/7/2 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,70.0,99.0,0.0,0.0,96.0,70.0,99.0,100.0
374647,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 14:30:00,2018/7/2 14:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,55.0,77.0,0.0,0.0,105.0,55.0,77.0,100.0
381055,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 14:45:00,2018/7/2 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,47.0,89.0,0.0,0.0,84.0,47.0,89.0,100.0
387436,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 15:00:00,2018/7/2 15:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,52.0,96.0,0.0,0.0,73.0,52.0,96.0,100.0
393930,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 15:15:00,2018/7/2 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,43.0,81.0,0.0,0.0,85.0,43.0,81.0,100.0
400449,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 15:30:00,2018/7/2 15:45:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,67.0,108.0,0.0,0.0,69.0,69.0,108.0,99.19
406848,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 15:45:00,2018/7/2 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,106.0,122.0,0.0,0.0,110.0,113.0,122.0,97.97
413273,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 16:00:00,2018/7/2 16:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,82.0,141.0,0.0,0.0,94.0,82.0,141.0,100.0
419801,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 16:15:00,2018/7/2 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,93.0,122.0,0.0,0.0,94.0,95.0,122.0,99.36
426379,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 16:30:00,2018/7/2 16:45:00,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,36.0,106.0,0.0,0.0,60.0,41.0,107.0,97.12
432956,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 16:45:00,2018/7/2 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,57.0,85.0,0.0,0.0,82.0,57.0,85.0,100.0
439533,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 17:00:00,2018/7/2 17:15:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,78.0,102.0,0.0,0.0,70.0,80.0,102.0,99.21
446120,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 17:15:00,2018/7/2 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,77.0,105.0,0.0,0.0,76.0,77.0,105.0,100.0
452710,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 17:30:00,2018/7/2 17:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,83.0,87.0,0.0,0.0,57.0,83.0,87.0,100.0
459300,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 17:45:00,2018/7/2 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,61.0,89.0,0.0,0.0,83.0,64.0,89.0,98.73
465895,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 18:00:00,2018/7/2 18:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,58.0,91.0,0.0,0.0,67.0,58.0,91.0,100.0
472480,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 18:15:00,2018/7/2 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,68.0,72.0,0.0,0.0,123.0,68.0,72.0,100.0
479066,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 18:30:00,2018/7/2 18:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,78.0,90.0,0.0,0.0,123.0,78.0,90.0,100.0
485648,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 18:45:00,2018/7/2 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,86.0,80.0,0.0,0.0,83.0,88.0,80.0,99.2
492232,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 19:00:00,2018/7/2 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,115.0,98.0,0.0,0.0,88.0,116.0,98.0,99.67
498823,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 19:15:00,2018/7/2 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,106.0,74.0,0.0,0.0,64.0,106.0,74.0,100.0
505415,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 19:30:00,2018/7/2 19:45:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,83.0,81.0,0.0,0.0,61.0,84.0,81.0,99.56
512010,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 19:45:00,2018/7/2 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,57.0,75.0,0.0,0.0,80.0,58.0,75.0,99.53
518605,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 20:00:00,2018/7/2 20:15:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,44.0,61.0,0.0,0.0,71.0,44.0,62.0,99.44
525199,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 20:15:00,2018/7/2 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,57.0,69.0,0.0,0.0,71.0,57.0,69.0,100.0
531791,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 20:30:00,2018/7/2 20:45:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,54.0,86.0,0.0,0.0,72.0,55.0,86.0,99.53
538386,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 20:45:00,2018/7/2 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,60.0,72.0,0.0,0.0,70.0,60.0,72.0,100.0
544981,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 21:00:00,2018/7/2 21:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,36.0,81.0,0.0,0.0,58.0,36.0,81.0,100.0
551576,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 21:15:00,2018/7/2 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,40.0,82.0,0.0,0.0,62.0,54.0,82.0,92.93
558171,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 21:30:00,2018/7/2 21:45:00,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,50.0,88.0,0.0,0.0,61.0,53.0,89.0,98.03
564762,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 21:45:00,2018/7/2 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,30.0,83.0,0.0,0.0,66.0,30.0,83.0,100.0
571354,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 22:00:00,2018/7/2 22:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,40.0,95.0,0.0,0.0,78.0,40.0,95.0,100.0
577946,"PLMN=1,AREA=1,ENB=1028401,cell=0",2018/7/2 22:15:00,2018/7/2 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,31.0,101.0,0.0,0.0,79.0,32.0,101.0,99.53
